distance_cm,turn_hint,label
21,29,0
8,28,0
9,18,0
11,81,1
21,87,1
20,22,0
23,19,0
11,56,1
21,84,1
17,53,1
18,55,1
19,84,1
21,70,1
20,75,1
25,19,0
9,23,0
17,18,0
64,16,0
15,89,1
19,29,0
13,14,0
65,13,0
23,45,1
21,18,0
20,59,1
5,87,1
19,31,0
9,88,1
26,83,1
10,20,0
14,13,0
8,21,0
69,58,1
77,21,0
72,88,1
6,47,1
8,56,1
11,22,0
7,63,1
15,55,1
21,21,0
18,52,1
17,80,1
21,87,1
20,89,1
12,22,0
19,2,0
13,95,1
16,66,1
24,27,0
4,50,1
21,26,0
9,30,0
23,59,1
69,89,1
17,13,0
20,19,0
7,10,0
8,83,1
9,20,0
76,51,1
14,13,0
71,56,1
29,80,1
2,10,0
18,13,1
23,55,1
9,27,0
23,16,0
2,88,1
26,49,1
15,90,1
22,46,1
15,89,1
19,54,1
24,46,1
70,79,1
69,21,0
9,25,0
10,21,0
22,57,1
26,23,0
4,50,1
8,62,1
6,58,1
72,57,1
23,58,1
26,21,0
4,54,1
15,23,0
18,19,0
20,31,0
11,97,1
21,24,0
16,57,1
9,28,0
71,71,1
14,18,0
65,52,1
12,31,0
23,51,1
21,52,1
4,20,0
24,29,0
77,9,0
19,54,1
9,5,0
10,71,1
69,16,0
5,13,0
24,46,1
9,16,0
16,59,1
22,80,1
23,60,1
7,87,1
15,91,1
24,22,0
77,87,1
19,67,1
28,28,0
74,25,0
19,9,0
67,48,1
16,74,1
9,50,1
8,17,1
70,11,0
65,27,0
69,14,0
19,21,0
15,82,1
72,67,1
21,54,1
20,18,0
21,62,1
21,55,1
19,32,0
17,62,1
15,77,1
9,28,0
73,48,1
25,31,0
69,24,0
25,84,1
71,29,0
9,15,0
8,16,0
27,58,1
17,57,1
64,17,0
70,17,0
20,52,1
8,22,0
77,15,0
23,22,0
30,23,0
7,58,1
18,39,0
5,12,0
20,19,0
69,22,0
22,28,0
18,66,1
5,86,1
72,27,0
19,24,0
69,75,1
14,53,1
68,4,0
